photo,total_heads_detected,present_count,absent_count,unknown_count,present_students,absent_students,avg_confidence
12-03-2026.jpeg,6,6,3,0,"student_09,student_02,student_03,student_06,student_04,student_01","student_05,student_07,student_08",0.748
13-02-2026_193703_008.jpeg,5,5,4,0,"student_01,student_02,student_04,student_09,student_03","student_05,student_06,student_07,student_08",0.767
13-03-2026.jpeg,2,2,7,0,"student_07,student_08","student_01,student_02,student_03,student_04,student_05,student_06,student_09",0.744
16-02-2026_001.jpeg,4,4,5,0,"student_09,student_01,student_04,student_05","student_02,student_03,student_06,student_07,student_08",0.75
16-02-2026_002.jpeg,4,4,5,0,"student_04,student_09,student_01,student_05","student_02,student_03,student_06,student_07,student_08",0.793
17-03-2026.jpeg,4,4,5,0,"student_04,student_09,student_01,student_05","student_02,student_03,student_06,student_07,student_08",0.793
18-03-2026.jpeg,4,4,5,0,"student_09,student_01,student_04,student_05","student_02,student_03,student_06,student_07,student_08",0.75
19-03-2026.jpeg,2,2,7,0,"student_08,student_07","student_01,student_02,student_03,student_04,student_05,student_06,student_09",0.695
20-03-2026.jpeg,2,2,7,0,"student_04,student_06","student_01,student_02,student_03,student_05,student_07,student_08,student_09",0.796
23-03-2026.jpeg,2,2,7,0,"student_08,student_07","student_01,student_02,student_03,student_04,student_05,student_06,student_09",0.706
25-03-2026.jpeg,2,2,7,0,"student_04,student_06","student_01,student_02,student_03,student_05,student_07,student_08,student_09",0.786
